District,Democratic Votes,Republican Votes,Total Votes,Year,State
8,310940,0,385401,2020,Massachusetts
9,260262,154261,424601,2020,Massachusetts
1,153328,256581,416219,2020,Michigan
2,154122,238711,402247,2020,Michigan
3,189769,213649,403419,2020,Michigan
4,120802,242621,373245,2020,Michigan
5,196599,150772,361032,2020,Michigan
6,152085,211496,378980,2020,Michigan
7,159743,227524,387267,2020,Michigan
8,217922,202525,428344,2020,Michigan
9,230318,153296,399117,2020,Michigan
10,138179,271607,409786,2020,Michigan
11,226128,215405,450473,2020,Michigan
12,254957,117719,383823,2020,Michigan
13,223205,53311,285885,2020,Michigan
14,271360,62664,342303,2020,Michigan
1,2688527,2617881,368856,2020,Minnesota
2,2688527,2617881,424512,2020,Minnesota
3,2688527,2617881,443603,2020,Minnesota
4,2688527,2617881,389114,2020,Minnesota
5,2688527,2617881,398229,2020,Minnesota
6,2688527,2617881,412307,2020,Minnesota
7,2688527,2617881,363477,2020,Minnesota
8,2688527,2617881,393711,2020,Minnesota
1,104008,228787,332795,2020,Mississippi
2,196224,101010,297234,2020,Mississippi
3,120782,221064,341846,2020,Mississippi
4,0,255971,255971,2020,Mississippi
1,249087,59940,316171,2020,Missouri
2,204540,233157,449348,2020,Missouri
3,116095,282866,407348,2020,Missouri
4,107635,245247,362836,2020,Missouri
5,207180,135934,352430,2020,Missouri
6,118926,258709,385779,2020,Missouri
7,98111,254318,369283,2020,Missouri
8,70561,253811,330226,2020,Missouri
1,262340,339169,601509,2020,Montana
1,119622,189006,317566,2020,Nebraska
2,155706,171071,336962,2020,Nebraska
3,50690,225157,286770,2020,Nebraska
1,137868,74490,223213,2020,Nevada
2,155780,216078,382673,2020,Nevada
3,203421,190975,417252,2020,Nevada
4,168457,152284,332469,2020,Nevada
1,205606,185159,400661,2020,New Hampshire
2,208289,168886,386441,2020,New Hampshire
1,240567,144463,385030,2020,New Jersey
2,173849,195526,376547,2020,New Jersey
3,229840,196327,431762,2020,New Jersey
4,162420,254103,424368,2020,New Jersey
5,225175,193333,423636,2020,New Jersey
6,199648,126760,326408,2020,New Jersey
7,219688,214359,434047,2020,New Jersey
8,176758,58686,238773,2020,New Jersey
9,203674,98629,309542,2020,New Jersey
10,241522,40298,290009,2020,New Jersey
11,235163,206013,441176,2020,New Jersey
12,230883,114591,351725,2020,New Jersey
1,186953,134337,321290,2020,New Mexico
2,122546,142283,264946,2020,New Mexico
3,186282,131166,317448,2020,New Mexico
1,169294,205715,375009,2020,New York
2,154246,177379,335073,2020,New York
3,208555,161931,372642,2020,New York
4,199762,153007,355793,2020,New York
5,229125,0,229125,2020,New York
6,158862,74829,233691,2020,New York
7,191073,32520,225115,2020,New York
8,234933,42007,276940,2020,New York
9,230221,43950,276867,2020,New York
10,206310,66889,276569,2020,New York
11,137198,155608,292806,2020,New York
12,265172,53061,322248,2020,New York
13,231841,19829,254965,2020,New York
14,152661,58440,213101,2020,New York
15,169533,21221,190754,2020,New York
16,218514,0,259608,2020,New York
17,197354,117309,332658,2020,New York
18,187444,145145,335753,2020,New York
19,192100,151475,350598,2020,New York
20,219705,139446,359151,2020,New York
21,131995,188655,320650,2020,New York
22,155989,156098,326566,2020,New York
23,128976,181021,313724,2020,New York
24,147877,182809,343950,2020,New York
25,206396,136198,347919,2020,New York
26,223366,91706,319703,2020,New York
27,149449,228885,383211,2020,New York
1,188870,159748,348618,2020,North Carolina
2,311887,172544,495345,2020,North Carolina
3,132752,229800,362552,2020,North Carolina
4,332421,161298,493719,2020,North Carolina
5,119846,257843,385244,2020,North Carolina
6,253531,153598,407129,2020,North Carolina
7,179045,272443,452208,2020,North Carolina
8,177781,202774,380555,2020,North Carolina
9,179463,224661,404124,2020,North Carolina
10,128189,284095,412284,2020,North Carolina
11,190609,245351,450145,2020,North Carolina
12,341457,0,341457,2020,North Carolina
13,124684,267181,391865,2020,North Carolina
1,97970,245229,355598,2020,North Dakota
1,172022,199560,385285,2020,Ohio
2,146781,230430,377248,2020,Ohio
3,227420,93569,321092,2020,Ohio
4,101897,235875,347356,2020,Ohio
5,120962,257019,377981,2020,Ohio
6,85661,249130,334791,2020,Ohio
7,102271,236607,350549,2020,Ohio
8,110766,246277,357157,2020,Ohio
9,190328,111385,301752,2020,Ohio
10,151976,212972,364948,2020,Ohio
11,242098,60323,302421,2020,Ohio
12,182847,241790,437672,2020,Ohio
13,173631,148648,330801,2020,Ohio
14,158586,238864,397450,2020,Ohio
15,140183,243103,383361,2020,Ohio
16,144071,247335,391406,2020,Ohio
1,109641,213700,335471,2020,Oklahoma
2,63472,216511,288527,2020,Oklahoma
3,66501,242677,309178,2020,Oklahoma
4,90459,213096,314358,2020,Oklahoma
5,145658,158191,303849,2020,Oklahoma
1,297071,161928,459899,2020,Oregon
2,168881,273835,457433,2020,Oregon
3,343574,110570,470506,2020,Oregon
4,240950,216081,467705,2020,Oregon
5,234863,204372,452646,2020,Oregon
1,191875,249804,441679,2020,Pennsylvania
2,198140,75022,273162,2020,Pennsylvania
3,341708,33671,375379,2020,Pennsylvania
4,264637,179926,444563,2020,Pennsylvania
5,255743,139552,395295,2020,Pennsylvania
6,226440,177526,403966,2020,Pennsylvania
7,195475,181407,376882,2020,Pennsylvania
8,178004,165783,343787,2020,Pennsylvania
9,118266,232988,351254,2020,Pennsylvania
10,182938,208896,391834,2020,Pennsylvania
11,141325,241915,383240,2020,Pennsylvania
12,99199,241035,340234,2020,Pennsylvania
13,96612,267789,364401,2020,Pennsylvania
14,131895,241688,373583,2020,Pennsylvania
15,92156,255058,347214,2020,Pennsylvania
16,143962,210088,354050,2020,Pennsylvania
17,222253,212284,434537,2020,Pennsylvania
18,266084,118163,384247,2020,Pennsylvania
1,158550,0,223860,2020,Rhode Island
2,154086,109894,264557,2020,Rhode Island
1,210627,216042,427111,2020,South Carolina
2,155118,202715,364215,2020,South Carolina
3,95712,237544,333564,2020,South Carolina
4,133023,222126,360550,2020,South Carolina
5,145979,220006,366258,2020,South Carolina
6,197477,89258,289653,2020,South Carolina
7,138863,224993,364091,2020,South Carolina
1,0,321984,397732,2020,South Dakota
1,68617,228181,305423,2020,Tennessee
2,109684,238907,353197,2020,Tennessee
3,97687,215571,320299,2020,Tennessee
4,111908,223802,335710,2020,Tennessee
5,252155,0,252169,2020,Tennessee
6,83852,257572,349578,2020,Tennessee
7,95839,245188,350635,2020,Tennessee
8,97890,227216,331853,2020,Tennessee
9,187905,48818,242880,2020,Tennessee
1,83016,219726,302742,2020,Texas
2,148374,192828,346726,2020,Texas
3,179458,230512,418591,2020,Texas
4,76236,253837,337803,2020,Texas
5,100743,173836,280413,2020,Texas
6,149530,179507,339992,2020,Texas
7,159529,149054,314125,2020,Texas
8,97409,277327,382471,2020,Texas
9,172938,49575,229107,2020,Texas
10,187686,217216,413894,2020,Texas
11,53394,232568,291773,2020,Texas
12,121250,233853,367021,2020,Texas
13,50477,217124,273508,2020,Texas
14,118574,190541,309115,2020,Texas
15,115605,109017,228917,2020,Texas
16,154108,84006,238114,2020,Texas
17,125565,171390,306873,2020,Texas
18,180952,58033,246895,2020,Texas
19,60583,198198,265052,2020,Texas
20,175078,89628,270723,2020,Texas
21,205780,235740,453750,2020,Texas
22,181998,210259,408048,2020,Texas
23,137693,149395,295457,2020,Texas
24,163326,167910,344021,2020,Texas
25,165697,220088,393523,2020,Texas
26,161009,261963,432215,2020,Texas
27,95446,172305,273253,2020,Texas
28,137494,91925,235844,2020,Texas
29,111305,42840,156473,2020,Texas
30,204928,48685,264464,2020,Texas
31,176293,212695,398057,2020,Texas
32,178542,157867,343687,2020,Texas
33,105317,39638,157606,2020,Texas
34,111439,84119,201027,2020,Texas
35,176373,80795,269797,2020,Texas
36,73148,222712,302549,2020,Texas
1,104194,237988,342351,2020,Utah
2,129762,208997,354224,2020,Utah
3,96067,246674,358927,2020,Utah
4,175923,179688,376730,2020,Utah
1,238827,95830,354837,2020,Vermont
1,186923,260614,448178,2020,Virginia
2,185733,165031,360277,2020,Virginia
3,233326,107299,341361,2020,Virginia
4,241142,149625,391345,2020,Virginia
5,190315,210988,402317,2020,Virginia
6,134729,246606,381813,2020,Virginia
7,230893,222623,454339,2020,Virginia
8,301454,95365,397745,2020,Virginia
9,0,271851,289274,2020,Virginia
10,268734,206253,475546,2020,Virginia
11,280725,111380,393241,2020,Virginia
1,249944,176407,426862,2020,Washington
2,255252,148384,404598,2020,Washington
3,181347,235579,417903,2020,Washington
4,102667,202108,305263,2020,Washington
5,155737,247815,404360,2020,Washington
6,247429,168783,417216,2020,Washington
7,387109,78240,466462,2020,Washington
8,213123,198423,412112,2020,Washington
9,258771,89697,349050,2020,Washington
10,288977,0,340407,2020,Washington
1,81177,180488,261665,2020,West Virginia
2,100799,172195,272994,2020,West Virginia
3,64927,161585,226512,2020,West Virginia
1,163170,238271,401754,2020,Wisconsin
2,318523,138306,457205,2020,Wisconsin
3,199870,189524,389618,2020,Wisconsin
4,232668,70769,311697,2020,Wisconsin
5,175902,265434,441599,2020,Wisconsin
6,164239,238874,403333,2020,Wisconsin
7,162741,252048,415007,2020,Wisconsin
8,149558,268173,417838,2020,Wisconsin
1,66576,185732,270892,2020,Wyoming
